field1,GEOID,STATE,PLACENS,BLKGRP,BLOCK,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,GEOID10,field1:1,GEOID10:1,BLOCKCE10,INTPTLAT10,INTPTLON10
21021,4.82015E+14,48,2410796,2,2006,48,4,44,43,43,0,0,0,0,0,1,53,4,49,47,46,1,0,0,0,0,2,4.82015E+14,623672,4.82015E+14,2006,29.7466658,-95.5707607
21022,4.82015E+14,48,2410796,2,2007,171,13,158,155,135,9,0,11,0,0,3,213,15,198,195,175,9,0,11,0,0,3,4.82015E+14,445893,4.82015E+14,2007,29.7465326,-95.5712564
21023,4.82015E+14,48,2410796,2,2008,120,12,108,104,101,0,0,3,0,0,4,161,22,139,134,131,0,0,3,0,0,5,4.82015E+14,795003,4.82015E+14,2008,29.7463271,-95.5664101
21024,4.82015E+14,48,2410796,2,2009,34,6,28,23,17,4,0,0,0,2,5,42,10,32,25,19,4,0,0,0,2,7,4.82015E+14,470333,4.82015E+14,2009,29.7447191,-95.5673438
21025,4.82015E+14,48,2410796,2,2010,12,0,12,11,7,3,0,1,0,0,1,20,3,17,13,9,3,0,1,0,0,4,4.82015E+14,228831,4.82015E+14,2010,29.7446217,-95.5684336
21026,4.82015E+14,48,2410796,2,2011,71,14,57,55,54,0,0,0,0,1,2,84,15,69,65,62,2,0,0,0,1,4,4.82015E+14,881020,4.82015E+14,2011,29.7451913,-95.5683547
21027,4.82015E+14,48,2410796,2,2012,59,9,50,47,43,0,0,4,0,0,3,74,12,62,59,55,0,0,4,0,0,3,4.82015E+14,609445,4.82015E+14,2012,29.7461186,-95.5682886
21028,4.82015E+14,48,2410796,2,2013,22,4,18,17,14,0,0,3,0,0,1,25,6,19,18,14,0,0,4,0,0,1,4.82015E+14,193570,4.82015E+14,2013,29.7458299,-95.5704245
21029,4.82015E+14,48,2410796,2,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82015E+14,448590,4.82015E+14,2014,29.7454929,-95.5714689
21030,4.82015E+14,48,2410796,2,2015,0,0,0,0,0,0,0,0,0,0,0,13,8,5,4,0,2,0,2,0,0,1,4.82015E+14,21783,4.82015E+14,2015,29.7449392,-95.5705872
21064,4.82015E+14,48,2410796,1,1000,400,51,349,342,265,29,0,47,1,0,7,417,52,365,358,273,33,0,51,1,0,7,4.82015E+14,50867,4.82015E+14,1000,29.7613086,-95.5822219
21065,4.82015E+14,48,2410796,1,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82015E+14,108296,4.82015E+14,1001,29.7582965,-95.57835
21066,4.82015E+14,48,2410796,1,1002,116,19,97,96,91,0,0,5,0,0,1,137,21,116,112,101,0,0,8,0,3,4,4.82015E+14,167551,4.82015E+14,1002,29.758632,-95.5793384
21067,4.82015E+14,48,2410796,1,1003,57,4,53,52,49,0,0,2,0,1,1,75,6,69,65,58,4,0,2,0,1,4,4.82015E+14,31564,4.82015E+14,1003,29.7588003,-95.5847169
21068,4.82015E+14,48,2410796,1,1004,53,8,45,44,40,0,0,4,0,0,1,60,10,50,48,44,0,0,4,0,0,2,4.82015E+14,138293,4.82015E+14,1004,29.7557123,-95.5758932
21069,4.82015E+14,48,2410796,1,1005,64,6,58,55,41,3,0,7,3,1,3,79,16,63,57,43,3,0,7,3,1,6,4.82015E+14,879316,4.82015E+14,1005,29.7577274,-95.5800609
21070,4.82015E+14,48,2410796,1,1006,56,12,44,43,41,0,0,2,0,0,1,64,14,50,47,44,1,0,2,0,0,3,4.82015E+14,202918,4.82015E+14,1006,29.7607641,-95.5776564
21071,4.82015E+14,48,2410796,1,1007,136,16,120,114,90,10,1,11,0,2,6,163,20,143,137,113,10,1,11,0,2,6,4.82015E+14,306350,4.82015E+14,1007,29.7628619,-95.5766781
21072,4.82015E+14,48,2410796,1,1008,118,13,105,93,82,0,0,8,1,2,12,150,15,135,123,106,0,0,14,1,2,12,4.82015E+14,569778,4.82015E+14,1008,29.7585979,-95.5788456
